ID,logFC,P.Value
gene_9673,-0.7757877279,0.0106226967
gene_16583,-0.0706428307,0.0320566135
gene_5454,-0.1332651244,0.0960441316
gene_13801,0.8635334519,0.0633368259
gene_9669,-0.441666007,0.0948488767
gene_11443,0.7571683127,0.0334189499
gene_13805,0.55227738,0.0961203935
gene_1425,1.2005550344,0.0133234263
gene_16970,0.4595853869,0.0904969115
gene_163,-0.1144501951,0.0965843191
gene_7677,0.6742538729,0.0956548776
gene_12235,0.8311171683,0.0631722472
gene_976,-0.0273247397,0.076413597
gene_11971,0.2029572828,0.0860238672
gene_730,0.7194071746,0.0953365693
gene_2178,0.6813892324,0.0954386462
gene_851,0.2830227543,0.0839124792
gene_9285,0.6487070916,0.0728141693
gene_16571,0.9548316811,0.0846691084
gene_11440,0.0807087527,0.0935072056
gene_8452,-0.0698913894,0.084854305
gene_11573,0.5945059084,0.0867159336
gene_14032,0.6089840902,0.0884835993
gene_12725,-1.1011564096,0.0813465378
gene_241,-0.5005129315,0.0200823945
gene_12147,0.980580088,0.0182918347
gene_2616,0.8430900953,0.0970376748
gene_1023,-0.202524085,0.0893373171
gene_8178,-0.141602976,0.0838524014
gene_5823,0.7581461174,0.0957548093
gene_4720,-1.2372127927,0.0532662156
gene_13681,1.0761474024,0.0228531226
gene_1945,-0.8623215918,0.0846593077
gene_11492,0.4539430117,0.0615688663
gene_12878,0.4430940855,0.0864600497
gene_13300,-0.2653557441,0.0327996649
gene_12296,0.6236986685,0.0814540773
gene_16649,0.8072946071,0.0923289278
gene_10678,-0.2290103893,0.0909294093
gene_10427,-0.0085085765,0.0984265946
gene_9464,0.0408280489,0.0984901025
gene_8855,0.5765929472,0.0985870472
gene_10471,0.3224986118,0.0910876009
gene_4046,0.7817583871,0.0833233497
gene_15431,0.78316932,0.0960405264
